#入力日時,購入日,品目,金額,森山立替,木村立替,山本立替,森山分担,木村分担,山本分担,森山端数,木村端数,山本端数,精算状況
2012年03月20日18時30分45秒,20111229,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年03月20日17時08分27秒,20120102,雑貨(消耗品),1559,,,1559,519,519,519,null,null,2,精算(端数込)
2012年03月20日17時08分40秒,20120102,食費,3167,,,3167,1055,1055,1055,null,null,2,精算(端数込)
2012年03月20日17時11分03秒,20120103,食費,1200,,,1200,400,400,400,null,null,null,精算(端数込)
2012年03月20日18時32分17秒,20120103,雑貨(消耗品),3300,3300,,,1100,1100,1100,null,null,null,精算(端数込)
2012年03月20日17時10分53秒,20120104,食費,2154,,,2154,718,718,718,null,null,null,精算(端数込)
2012年03月20日18時22分36秒,20120104,雑貨(消耗品),696,,696,,232,232,232,null,null,null,精算(端数込)
2012年03月20日18時36分09秒,20120104,電気代,10278,10278,,,3426,3426,3426,null,null,null,精算(端数込)
2012年03月20日18時36分26秒,20120104,ガス代,7951,7951,,,2650,2650,2650,1,null,null,精算(端数込)
2012年03月20日18時21分55秒,20120106,雑貨(消耗品),3000,,3000,,1000,1000,1000,null,null,null,精算(端数込)
2012年03月20日17時03分33秒,20120107,外食費,940,,,940,470,,470,null,null,null,精算(端数込)
2012年03月20日17時08分58秒,20120107,外食費,2230,,,2230,743,743,743,null,null,1,精算(端数込)
2012年03月20日18時21分35秒,20120107,外食費,1260,,1260,,,630,630,null,null,null,精算(端数込)
2012年03月20日18時21分04秒,20120108,外食費,9702,,9702,,3234,3234,3234,null,null,null,精算(端数込)
2012年03月20日18時19分54秒,20120109,食費,5215,,5215,,1738,1738,1738,null,1,null,精算(端数込)
2012年03月20日17時08分08秒,20120110,食費,638,,,638,212,212,212,null,null,2,精算(端数込)
2012年03月20日18時20分14秒,20120110,食費,1000,,1000,,333,333,333,null,1,null,精算(端数込)
2012年03月20日18時29分30秒,20120110,食費,722,722,,,240,240,240,2,null,null,精算(端数込)
2012年03月20日18時16分35秒,20120113,雑貨(消耗品),4380,,4380,,1460,1460,1460,null,null,null,精算(端数込)
2012年03月20日17時07分39秒,20120114,食費,1147,,,1147,382,382,382,null,null,1,精算(端数込)
2012年03月20日18時15分25秒,20120115,外食費,8224,,8224,,2741,2741,2741,null,1,null,精算(端数込)
2012年03月20日18時16分05秒,20120115,食費,1229,,1229,,,614,614,null,1,null,精算(端数込)
2012年03月20日17時12分14秒,20120116,食費,1514,,,1514,504,504,504,null,null,2,精算(端数込)
2012年03月20日18時31分39秒,20120116,食費,9990,9990,,,3330,3330,3330,null,null,null,精算(端数込)
2012年03月20日17時12分04秒,20120117,食費,1709,,,1709,569,569,569,null,null,2,精算(端数込)
2012年03月20日17時09分42秒,20120118,食費,1844,,,1844,614,614,614,null,null,2,精算(端数込)
2012年03月20日17時05分29秒,20120120,食費,2610,,,2610,870,870,870,null,null,null,精算(端数込)
2012年03月20日17時10分00秒,20120121,食費,2126,,,2126,708,708,708,null,null,2,精算(端数込)
2012年03月20日17時05分59秒,20120122,食費,1780,,,1780,593,593,593,null,null,1,精算(端数込)
2012年03月20日17時10分36秒,20120122,食費,5867,,,5867,1955,1955,1955,null,null,2,精算(端数込)
2012年03月20日18時09分34秒,20120123,食費,852,,852,,284,284,284,null,null,null,精算(端数込)
2012年03月20日17時03分56秒,20120124,食費,792,,,792,264,264,264,null,null,null,精算(端数込)
2012年03月20日17時07分55秒,20120124,食費,2038,,,2038,679,679,679,null,null,1,精算(端数込)
2012年03月20日17時04分47秒,20120125,雑貨(消耗品),1995,,,1995,665,665,665,null,null,null,精算(端数込)
2012年03月20日16時58分19秒,20120127,食費,1386,,,1386,462,462,462,null,null,null,精算(端数込)
2012年03月20日18時01分57秒,20120128,食費,790,,790,,,395,395,null,null,null,精算(端数込)
2012年03月20日18時02分42秒,20120129,外食費,2467,,2467,,,1233,1233,null,1,null,精算(端数込)
2012年03月20日17時59分41秒,20120130,食費,2470,,2470,,1235,1235,,null,null,null,精算(端数込)
2012年03月20日18時27分47秒,20120130,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年03月20日17時05分45秒,20120131,食費,1798,,,1798,599,599,599,null,null,1,精算(端数込)
2012年03月20日17時58分59秒,20120131,プロバイダ,3020,,3020,,1006,1006,1006,null,2,null,精算(端数込)
2012年03月20日17時02分54秒,20120201,食費,1501,,,1501,500,500,500,null,null,1,精算(端数込)
2012年03月20日16時58分57秒,20120203,食費,2348,,,2348,782,782,782,null,null,2,精算(端数込)
2012年03月20日17時58分01秒,20120204,食費,1963,,1963,,654,654,654,null,1,null,精算(端数込)
2012年03月20日18時27分06秒,20120204,外食費,6405,6405,,,2135,2135,2135,null,null,null,精算(端数込)
2012年03月20日18時30分02秒,20120204,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2012年03月20日18時30分23秒,20120204,食費,1450,1450,,,483,483,483,1,null,null,精算(端数込)
2012年03月20日18時32分43秒,20120204,電気代,14488,14488,,,4829,4829,4829,1,null,null,精算(端数込)
2012年03月20日18時33分04秒,20120204,ガス代,9442,9442,,,3147,3147,3147,1,null,null,精算(端数込)
2012年03月20日18時33分17秒,20120204,水道代,9342,9342,,,3114,3114,3114,null,null,null,精算(端数込)
2012年03月20日17時57分26秒,20120205,食費,744,,744,,248,248,248,null,null,null,精算(端数込)
2012年03月20日17時02分26秒,20120206,雑貨(消耗品),1823,,,1823,607,607,607,null,null,2,精算(端数込)
2012年03月20日17時13分40秒,20120206,食費,1722,,,1722,574,574,574,null,null,null,精算(端数込)
2012年03月20日17時00分38秒,20120207,雑貨(消耗品),3000,,,3000,1000,1000,1000,null,null,null,精算(端数込)
2012年03月20日17時02分41秒,20120207,食費,1856,,,1856,618,618,618,null,null,2,精算(端数込)
2012年03月20日17時56分42秒,20120208,雑貨(消耗品),398,,398,,132,132,132,null,2,null,精算(端数込)
2012年03月20日17時01分06秒,20120209,食費,1892,,,1892,630,630,630,null,null,2,精算(端数込)
2012年03月20日17時01分28秒,20120210,食費,2638,,,2638,879,879,879,null,null,1,精算(端数込)
2012年03月20日17時01分59秒,20120210,外食費,2380,,,2380,,1190,1190,null,null,null,精算(端数込)
2012年03月20日17時18分40秒,20120210,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2012年03月20日17時18分52秒,20120210,NHK料金,4180,,,4180,1393,1393,1393,null,null,1,精算(端数込)
2012年03月20日17時00分53秒,20120211,食費,1630,,,1630,543,543,543,null,null,1,精算(端数込)
2012年03月20日17時01分17秒,20120211,食費,1030,,,1030,343,343,343,null,null,1,精算(端数込)
2012年03月20日17時56分16秒,20120212,食費,2660,,2660,,1330,1330,,null,null,null,精算(端数込)
2012年03月20日16時59分09秒,20120213,食費,1101,,,1101,367,367,367,null,null,null,精算(端数込)
2012年03月20日17時00分00秒,20120213,食費,1254,,,1254,418,418,418,null,null,null,精算(端数込)
2012年03月20日17時00分12秒,20120214,食費,2187,,,2187,729,729,729,null,null,null,精算(端数込)
2012年03月20日16時59分49秒,20120215,食費,762,,,762,254,254,254,null,null,null,精算(端数込)
2012年03月20日16時57分55秒,20120216,食費,1873,,,1873,624,624,624,null,null,1,精算(端数込)
2012年03月20日16時57分11秒,20120217,食費,1053,,,1053,351,351,351,null,null,null,精算(端数込)
2012年03月20日17時54分21秒,20120217,雑貨(消耗品),4787,,4787,,1595,1595,1595,null,2,null,精算(端数込)
2012年03月20日17時51分17秒,20120218,食費,4030,,4030,,1343,1343,1343,null,1,null,精算(端数込)
2012年03月20日16時58分37秒,20120219,食費,1000,,,1000,333,333,333,null,null,1,精算(端数込)
2012年03月20日16時59分34秒,20120219,食費,496,,,496,165,165,165,null,null,1,精算(端数込)
2012年03月20日17時51分41秒,20120219,食費,598,,598,,199,199,199,null,1,null,精算(端数込)
2012年03月20日17時05分16秒,20120220,食費,1479,,,1479,493,493,493,null,null,null,精算(端数込)
2012年03月20日16時59分22秒,20120221,食費,1099,,,1099,366,366,366,null,null,1,精算(端数込)
2012年03月20日16時58分06秒,20120222,食費,999,,,999,333,333,333,null,null,null,精算(端数込)
2012年03月29日17時47分58秒,20120224,食費,896,896,,,298,298,298,2,null,null,精算(端数込)
2012年03月20日16時57分40秒,20120225,食費,472,,,472,157,157,157,null,null,1,精算(端数込)
2012年03月20日16時57分27秒,20120226,食費,1100,,,1100,366,366,366,null,null,2,精算(端数込)
2012年03月20日17時05分04秒,20120226,食費,2767,,,2767,922,922,922,null,null,1,精算(端数込)
2012年03月20日17時52分08秒,20120226,食費,1700,,1700,,566,566,566,null,2,null,精算(端数込)
2012年03月20日17時06分09秒,20120227,食費,1775,,,1775,591,591,591,null,null,2,精算(端数込)
2012年03月20日17時17分26秒,20120227,食費,525,,,525,,262,262,null,null,1,精算(端数込)
2012年03月20日18時28分28秒,20120227,雑貨(消耗品),258,258,,,86,86,86,null,null,null,精算(端数込)
2012年03月20日18時28分49秒,20120227,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年03月20日17時12分30秒,20120228,食費,4336,,,4336,1445,1445,1445,null,null,1,精算(端数込)
2012年03月20日17時11分19秒,20120229,食費,1830,,,1830,610,610,610,null,null,null,精算(端数込)
2012年03月20日17時04分29秒,20120301,雑貨(消耗品),171,,,171,57,57,57,null,null,null,精算(端数込)
2012年03月20日17時13分27秒,20120301,食費,1802,,,1802,600,600,600,null,null,2,精算(端数込)
2012年03月20日18時34分35秒,20120301,電気代,15840,15840,,,5280,5280,5280,null,null,null,精算(端数込)
2012年03月20日17時09分14秒,20120302,外食費,3140,,,3140,1046,1046,1046,null,null,2,精算(端数込)
2012年03月20日17時13分15秒,20120302,雑貨(消耗品),1593,,,1593,531,531,531,null,null,null,精算(端数込)
2012年03月20日17時17分05秒,20120302,食費,2470,,,2470,823,823,823,null,null,1,精算(端数込)
2012年03月20日17時16分09秒,20120303,食費,428,,,428,142,142,142,null,null,2,精算(端数込)
2012年03月20日17時16分42秒,20120303,食費,308,,,308,102,102,102,null,null,2,精算(端数込)
2012年03月20日17時52分46秒,20120303,食費,399,,399,,199,199,,null,1,null,精算(端数込)
2012年03月20日17時15分23秒,20120304,食費,1498,,,1498,499,499,499,null,null,1,精算(端数込)
2012年03月20日17時16分25秒,20120304,雑貨(家具･家電),1785,,,1785,595,595,595,null,null,null,精算(端数込)
2012年03月20日17時43分51秒,20120304,食費,1000,,1000,,333,333,333,null,1,null,精算(端数込)
2012年03月20日18時33分35秒,20120304,水道代,8074,8074,,,2691,2691,2691,1,null,null,精算(端数込)
2012年03月20日18時33分56秒,20120304,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2012年03月20日18時34分14秒,20120304,ガス代,9594,9594,,,3198,3198,3198,null,null,null,精算(端数込)
2012年03月20日17時14分03秒,20120305,雑貨(消耗品),10355,,,10355,3451,3451,3451,null,null,2,精算(端数込)
2012年03月20日17時14分52秒,20120305,食費,1830,,,1830,610,610,610,null,null,null,精算(端数込)
2012年03月20日17時11分36秒,20120306,雑貨(消耗品),7380,,,7380,2460,2460,2460,null,null,null,精算(端数込)
2012年03月20日17時11分50秒,20120306,食費,1000,,,1000,333,333,333,null,null,1,精算(端数込)
2012年03月20日17時13分04秒,20120306,雑貨(消耗品),398,,,398,132,132,132,null,null,2,精算(端数込)
2012年03月20日17時14分31秒,20120306,雑貨(消耗品),295,,,295,98,98,98,null,null,1,精算(端数込)
2012年03月20日17時15分05秒,20120306,食費,1256,,,1256,418,418,418,null,null,2,精算(端数込)
2012年03月20日17時41分57秒,20120308,食費,13460,,13460,,4486,4486,4486,null,2,null,精算(端数込)
2012年03月20日17時41分17秒,20120309,食費,698,,698,,,349,349,null,null,null,精算(端数込)
2012年03月20日17時44分15秒,20120309,食費,550,,550,,,,550,null,null,null,精算(端数込)
2012年03月20日17時16分51秒,20120310,食費,780,,,780,260,260,260,null,null,null,精算(端数込)
2012年03月20日17時42分39秒,20120310,食費,378,,378,,,189,189,null,null,null,精算(端数込)
2012年03月20日17時42分48秒,20120310,食費,180,,180,,,90,90,null,null,null,精算(端数込)
2012年03月20日18時45分59秒,20120311,遊行費,5400,5400,,,1800,1800,1800,null,null,null,精算(端数込)
2012年03月20日17時18分14秒,20120312,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2012年03月20日17時22分27秒,20120312,食費,11390,,11390,,3796,3796,3796,null,2,null,精算(端数込)
2012年03月20日17時30分14秒,20120312,食費,490,490,,,,490,,null,null,null,精算(端数込)
2012年03月20日17時06分24秒,20120313,食費,1574,,,1574,524,524,524,null,null,2,精算(端数込)
2012年03月20日17時06分50秒,20120313,食費,1791,,,1791,597,597,597,null,null,null,精算(端数込)
2012年03月20日17時07分18秒,20120313,雑貨(消耗品),4200,,,4200,4200,,,null,null,null,精算(端数込)
2012年03月20日17時15分44秒,20120313,雑貨(消耗品),636,,,636,212,212,212,null,null,null,精算(端数込)
2012年03月20日17時15分59秒,20120313,食費,716,,,716,238,238,238,null,null,2,精算(端数込)
2012年03月20日17時10分22秒,20120314,食費,2540,,,2540,846,846,846,null,null,2,精算(端数込)
2012年03月20日17時14分18秒,20120315,雑貨(消耗品),397,,,397,132,132,132,null,null,1,精算(端数込)
2012年03月20日17時12分45秒,20120316,食費,1081,,,1081,360,360,360,null,null,1,精算(端数込)
2012年03月20日17時06分36秒,20120320,食費,1690,,,1690,563,563,563,null,null,1,精算(端数込)
2012年03月20日17時10分11秒,20120320,食費,553,,,553,184,184,184,null,null,1,精算(端数込)
2012年03月20日17時21分32秒,20120320,雑貨(消耗品),1568,,1568,,522,522,522,null,2,null,精算(端数込)
2012年03月20日23時20分17秒,20120320,外食費,9510,,,9510,3170,3170,3170,null,null,null,精算(端数込)
2012年03月21日16時15分30秒,20120320,食費,578,,,578,192,192,192,null,null,2,精算(端数込)
2012年03月22日01時32分37秒,20120320,食費,1370,,,1370,456,456,456,null,null,2,精算(端数込)
2012年03月21日16時04分07秒,20120321,食費,1596,,,1596,,1596,,null,null,null,精算(端数込)
2012年03月21日16時15分10秒,20120321,食費,502,,,502,,502,,null,null,null,精算(端数込)
2012年03月24日22時23分16秒,20120322,食費,565,,,565,188,188,188,null,null,1,精算(端数込)
2012年03月24日22時24分08秒,20120322,雑貨(消耗品),488,,,488,162,162,162,null,null,2,精算(端数込)
2012年03月24日22時25分07秒,20120322,食費,2305,,,2305,768,768,768,null,null,1,精算(端数込)
2012年04月04日21時57分32秒,20120323,外食費,1760,,1760,,,880,880,null,null,null,精算(端数込)
2012年03月24日22時24分20秒,20120324,雑貨(消耗品),1013,,,1013,,506,506,null,null,1,精算(端数込)
2012年03月24日22時24分51秒,20120324,食費,1648,,,1648,549,549,549,null,null,1,精算(端数込)
2012年04月04日22時01分42秒,20120324,食費,1380,,1380,,460,460,460,null,null,null,精算(端数込)
2012年03月26日01時10分38秒,20120325,外食費,19700,19700,,,6566,6566,6566,2,null,null,精算(端数込)
2012年05月11日13時50分18秒,20120325,食費,1630,1630,,,543,543,543,1,null,null,精算(端数込)
2012年03月27日23時16分01秒,20120326,食費,1392,,,1392,464,464,464,null,null,null,精算(端数込)
2012年03月27日23時16分20秒,20120327,食費,984,,,984,328,328,328,null,null,null,精算(端数込)
2012年03月27日23時17分21秒,20120327,雑貨(家具･家電),56225,,,56225,18741,18741,18741,null,null,2,精算(端数込)
2012年04月04日22時00分22秒,20120327,食費,1000,,1000,,333,333,333,null,1,null,精算(端数込)
2012年03月29日19時25分41秒,20120329,食費,1474,,,1474,491,491,491,null,null,1,精算(端数込)
2012年03月29日19時26分10秒,20120329,食費,577,,,577,192,192,192,null,null,1,精算(端数込)
2012年03月29日19時26分29秒,20120329,雑貨(消耗品),245,,,245,81,81,81,null,null,2,精算(端数込)
2012年03月29日19時26分43秒,20120329,雑貨(消耗品),315,,,315,105,105,105,null,null,null,精算(端数込)
2012年03月29日19時26分51秒,20120329,雑貨(消耗品),1050,,,1050,350,350,350,null,null,null,精算(端数込)
2012年03月29日19時27分00秒,20120329,雑貨(消耗品),397,,,397,132,132,132,null,null,1,精算(端数込)
2012年03月29日19時27分18秒,20120329,雑貨(消耗品),300,,,300,100,100,100,null,null,null,精算(端数込)
2012年03月29日20時21分08秒,20120329,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2012年03月29日20時21分24秒,20120329,NHK料金,4180,,,4180,1393,1393,1393,null,null,1,精算(端数込)
2012年03月30日12時32分21秒,20120330,食費,2160,2160,,,1080,,1080,null,null,null,精算(端数込)
2012年03月30日17時34分23秒,20120330,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年04月04日22時02分16秒,20120331,食費,490,,490,,,245,245,null,null,null,精算(端数込)
2012年04月01日00時18分03秒,20120401,雑貨(本やCD),2310,,,2310,2310,,,null,null,null,精算(端数込)
2012年04月01日00時41分07秒,20120401,食費,3574,,,3574,1191,1191,1191,null,null,1,精算(端数込)
2012年04月01日21時58分28秒,20120401,外食費,5100,,5100,,,2550,2550,null,null,null,精算(端数込)
2012年04月04日22時03分58秒,20120401,食費,568,,568,,,,568,null,null,null,精算(端数込)
2012年05月06日12時54分23秒,20120401,食費,5106,,5106,,,2553,2553,null,null,null,精算(端数込)
2012年04月03日18時51分48秒,20120403,食費,1685,,,1685,561,561,561,null,null,2,精算(端数込)
2012年04月04日21時01分10秒,20120404,電気代,15040,15040,,,5013,5013,5013,1,null,null,精算(端数込)
2012年04月04日21時02分07秒,20120404,ガス代,10170,10170,,,3390,3390,3390,null,null,null,精算(端数込)
2012年04月04日21時02分37秒,20120404,NTT料金,3022,3022,,,1007,1007,1007,1,null,null,精算(端数込)
2012年04月04日22時04分38秒,20120404,食費,1100,,1100,,366,366,366,null,2,null,精算(端数込)
2012年04月04日22時05分52秒,20120404,雑貨(消耗品),4400,,4400,,1466,1466,1466,null,2,null,精算(端数込)
2012年04月06日01時39分01秒,20120405,食費,352,,,352,352,,,null,null,null,精算(端数込)
2012年04月06日01時39分19秒,20120405,食費,1024,,,1024,341,341,341,null,null,1,精算(端数込)
2012年04月07日11時19分13秒,20120407,雑貨(家具･家電),1500,,,1500,500,500,500,null,null,null,精算(端数込)
2012年04月07日11時19分31秒,20120407,食費,1780,,,1780,593,593,593,null,null,1,精算(端数込)
2012年04月13日01時02分04秒,20120407,食費,1660,,,1660,553,553,553,null,null,1,精算(端数込)
2012年05月06日12時52分00秒,20120407,食費,1110,,1110,,370,370,370,null,null,null,精算(端数込)
2012年05月06日12時52分18秒,20120407,食費,2230,,2230,,743,743,743,null,1,null,精算(端数込)
2012年04月09日21時32分37秒,20120409,外食費,1060,,1060,,1060,,,null,null,null,精算(端数込)
2012年04月09日21時33分04秒,20120409,外食費,280,,280,,280,,,null,null,null,精算(端数込)
2012年04月09日21時33分17秒,20120409,外食費,200,,200,,200,,,null,null,null,精算(端数込)
2012年04月09日21時33分30秒,20120409,外食費,180,,180,,180,,,null,null,null,精算(端数込)
2012年05月06日12時49分20秒,20120409,雑貨(消耗品),1960,,1960,,980,980,,null,null,null,精算(端数込)
2012年05月06日12時49分32秒,20120409,雑貨(消耗品),596,,596,,298,298,,null,null,null,精算(端数込)
2012年05月06日12時49分42秒,20120409,雑貨(消耗品),196,,196,,65,65,65,null,1,null,精算(端数込)
2012年05月06日12時50分27秒,20120409,外食費,400,,400,,400,,,null,null,null,精算(端数込)
2012年05月06日12時51分09秒,20120409,外食費,860,,860,,860,,,null,null,null,精算(端数込)
2012年04月13日01時02分16秒,20120411,食費,1821,,,1821,607,607,607,null,null,null,精算(端数込)
2012年05月06日12時47分55秒,20120413,外食費,2830,,2830,,1415,1415,,null,null,null,精算(端数込)
2012年04月16日01時22分44秒,20120414,食費,6162,,,6162,2054,2054,2054,null,null,null,精算(端数込)
2012年04月16日01時22分55秒,20120414,食費,1000,,,1000,333,333,333,null,null,1,精算(端数込)
2012年04月16日01時23分07秒,20120414,食費,1448,,,1448,482,482,482,null,null,2,精算(端数込)
2012年04月16日01時24分05秒,20120414,雑貨(消耗品),1480,,,1480,493,493,493,null,null,1,精算(端数込)
2012年05月06日12時45分37秒,20120414,食費,2191,,2191,,1095,1095,,null,1,null,精算(端数込)
2012年05月06日12時46分33秒,20120414,食費,5775,,5775,,2887,2887,,null,1,null,精算(端数込)
2012年05月06日12時47分09秒,20120414,外食費,1860,,1860,,,930,930,null,null,null,精算(端数込)
2012年04月16日01時23分16秒,20120415,食費,1608,,,1608,536,536,536,null,null,null,精算(端数込)
2012年04月16日01時23分25秒,20120415,食費,903,,,903,301,301,301,null,null,null,精算(端数込)
2012年04月17日02時12分35秒,20120416,食費,1412,,,1412,470,470,470,null,null,2,精算(端数込)
2012年05月06日12時44分38秒,20120418,食費,525,,525,,175,175,175,null,null,null,精算(端数込)
2012年04月19日02時24分23秒,20120419,食費,957,,,957,319,319,319,null,null,null,精算(端数込)
2012年04月21日18時05分48秒,20120420,外食費,1600,,,1600,800,800,,null,null,null,精算(端数込)
2012年04月21日18時04分39秒,20120421,食費,2205,,,2205,2205,,,null,null,null,精算(端数込)
2012年04月21日18時05分03秒,20120421,食費,1155,,,1155,,1155,,null,null,null,精算(端数込)
2012年05月06日12時43分23秒,20120421,雑貨(消耗品),1260,,1260,,420,420,420,null,null,null,精算(端数込)
2012年05月06日12時44分11秒,20120421,外食費,6000,,6000,,,3000,3000,null,null,null,精算(端数込)
2012年05月06日12時42分03秒,20120422,雑貨(消耗品),3380,,3380,,1126,1126,1126,null,2,null,精算(端数込)
2012年04月24日22時41分28秒,20120424,食費,2204,,,2204,734,734,734,null,null,2,精算(端数込)
2012年04月26日20時58分03秒,20120426,ガス代,8226,8226,,,2742,2742,2742,null,null,null,精算(端数込)
2012年04月26日20時58分55秒,20120426,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2012年04月26日21時00分37秒,20120426,電気代,12343,12343,,,4114,4114,4114,1,null,null,精算(端数込)
2012年05月06日16時59分56秒,20120427,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年05月06日12時40分07秒,20120428,雑貨(消耗品),158,,158,,52,52,52,null,2,null,精算(端数込)
2012年05月06日12時40分30秒,20120428,食費,1765,,1765,,588,588,588,null,1,null,精算(端数込)
2012年04月29日00時10分40秒,20120429,外食費,6982,6982,,,3491,,3491,null,null,null,精算(端数込)
2012年04月29日00時11分29秒,20120429,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2012年05月04日00時53分28秒,20120429,食費,4331,,,4331,1443,1443,1443,null,null,2,精算(端数込)
2012年05月04日00時53分41秒,20120430,食費,1100,,,1100,366,366,366,null,null,2,精算(端数込)
2012年05月06日12時38分48秒,20120430,雑貨(消耗品),700,,700,,,350,350,null,null,null,精算(端数込)
2012年05月06日12時39分21秒,20120430,雑貨(消耗品),4080,,4080,,1360,1360,1360,null,null,null,精算(端数込)
2012年05月06日12時38分09秒,20120502,雑貨(消耗品),4459,,4459,,1486,1486,1486,null,1,null,精算(端数込)
2012年05月04日00時53分03秒,20120503,食費,4218,,,4218,1406,1406,1406,null,null,null,精算(端数込)
2012年05月06日12時36分53秒,20120504,食費,26,,26,,,,26,null,null,null,精算(端数込)
2012年05月06日12時37分29秒,20120504,食費,284,,284,,284,,,null,null,null,精算(端数込)
2012年05月07日19時43分29秒,20120506,交通費,2060,,2060,,686,686,686,null,2,null,精算(端数込)
2012年05月11日12時09分30秒,20120506,水道代,9642,9642,,,3214,3214,3214,null,null,null,精算(端数込)
2012年05月11日12時10分07秒,20120506,食費,222,222,,,74,74,74,null,null,null,精算(端数込)
2012年05月11日12時11分02秒,20120506,食費,810,810,,,,810,,null,null,null,精算(端数込)
2012年06月01日20時52分54秒,20120508,雑貨(消耗品),1413,1413,,,471,471,471,null,null,null,精算(端数込)
2012年05月11日13時26分10秒,20120511,食費,924,924,,,308,308,308,null,null,null,精算(端数込)
2012年05月11日17時52分13秒,20120511,食費,298,298,,,99,99,99,1,null,null,精算(端数込)
2012年05月28日18時24分05秒,20120511,雑貨(消耗品),1196,,1196,,398,398,398,null,2,null,精算(端数込)
2012年05月12日22時28分17秒,20120512,食費,5586,,,5586,1862,1862,1862,null,null,null,精算(端数込)
2012年05月14日01時50分55秒,20120513,外食費,590,,,590,,590,,null,null,null,精算(端数込)
2012年05月14日01時51分22秒,20120513,食費,1000,,,1000,333,333,333,null,null,1,精算(端数込)
2012年05月14日01時51分34秒,20120513,食費,772,,,772,257,257,257,null,null,1,精算(端数込)
2012年05月28日18時24分51秒,20120515,外食費,2990,,2990,,1495,1495,,null,null,null,精算(端数込)
2012年05月28日18時25分26秒,20120516,雑貨(消耗品),2048,,2048,,682,682,682,null,2,null,精算(端数込)
2012年05月19日12時46分00秒,20120519,食費,2108,,,2108,702,702,702,null,null,2,精算(端数込)
2012年05月21日06時54分57秒,20120519,食費,1438,,,1438,479,479,479,null,null,1,精算(端数込)
2012年05月28日18時25分54秒,20120519,外食費,441,,441,,,,441,null,null,null,精算(端数込)
2012年05月28日18時26分19秒,20120519,雑貨(消耗品),1582,,1582,,527,527,527,null,1,null,精算(端数込)
2012年05月28日18時26分41秒,20120519,外食費,2320,,2320,,1160,1160,,null,null,null,精算(端数込)
2012年05月21日06時54分29秒,20120520,食費,378,,,378,126,126,126,null,null,null,精算(端数込)
2012年05月21日06時54分39秒,20120520,食費,3286,,,3286,1095,1095,1095,null,null,1,精算(端数込)
2012年05月21日06時55分06秒,20120520,食費,189,,,189,63,63,63,null,null,null,精算(端数込)
2012年05月28日18時21分57秒,20120520,クリーニング,1155,,1155,,1155,,,null,null,null,精算(端数込)
2012年05月28日18時22分18秒,20120520,クリーニング,1700,,1700,,1700,,,null,null,null,精算(端数込)
2012年05月28日18時22分34秒,20120520,クリーニング,441,,441,,441,,,null,null,null,精算(端数込)
2012年05月28日18時27分07秒,20120521,食費,756,,756,,252,252,252,null,null,null,精算(端数込)
2012年05月27日15時29分31秒,20120522,食費,1932,,,1932,644,644,644,null,null,null,精算(端数込)
2012年05月27日15時29分48秒,20120526,食費,1629,,,1629,543,543,543,null,null,null,精算(端数込)
2012年05月28日23時28分37秒,20120527,食費,1544,,,1544,514,514,514,null,null,2,精算(端数込)
2012年06月01日20時53分31秒,20120528,食費,460,460,,,230,230,,null,null,null,精算(端数込)
2012年06月02日02時33分04秒,20120528,雑貨(消耗品),1638,,1638,,546,546,546,null,null,null,精算(端数込)
2012年06月01日20時52分04秒,20120529,家賃振込料,420,420,,,140,140,140,null,null,null,精算(端数込)
2012年07月22日02時54分27秒,20120530,食費,1924,,,1924,641,641,641,null,null,1,精算(端数込)
2012年05月31日00時13分56秒,20120531,ケーブル代,6930,,,6930,2310,2310,2310,null,null,null,精算(端数込)
2012年05月31日00時14分25秒,20120531,NHK料金,4180,,,4180,1393,1393,1393,null,null,1,精算(端数込)
2012年06月01日20時47分39秒,20120601,遊行費,5655,5655,,,1885,1885,1885,null,null,null,精算(端数込)
2012年06月01日20時48分12秒,20120601,NTT料金,2992,2992,,,997,997,997,1,null,null,精算(端数込)
2012年06月01日20時48分48秒,20120601,ガス代,7266,7266,,,2422,2422,2422,null,null,null,精算(端数込)
2012年06月01日20時49分25秒,20120601,電気代,10444,10444,,,3481,3481,3481,1,null,null,精算(端数込)
2012年07月01日20時38分55秒,20120603,食費,1500,,1500,,500,500,500,null,null,null,精算(端数込)
2012年07月09日15時16分54秒,20120603,食費,13051,13051,,,4350,4350,4350,1,null,null,精算(端数込)
2012年07月22日02時53分43秒,20120604,食費,1149,,,1149,383,383,383,null,null,null,精算(端数込)
2012年07月01日20時39分30秒,20120607,外食費,490,,490,,490,,,null,null,null,精算(端数込)
